iter	Passed	Remaining
708	5086	2948
709	5092	2940
710	5099	2933
711	5106	2926
712	5113	2918
713	5120	2911
714	5127	2904
715	5134	2897
716	5141	2889
717	5148	2882
718	5155	2875
719	5161	2867
720	5168	2860
721	5174	2852
722	5181	2844
723	5188	2837
724	5194	2830
725	5202	2823
726	5208	2815
727	5216	2808
728	5223	2801
729	5229	2794
730	5238	2787
731	5244	2779
732	5251	2772
733	5258	2765
734	5266	2758
735	5272	2750
736	5279	2743
737	5286	2736
738	5293	2729
739	5301	2722
740	5307	2714
741	5314	2707
742	5321	2700
743	5327	2692
744	5335	2685
745	5341	2678
746	5350	2671
747	5357	2664
748	5364	2657
749	5371	2649
750	5378	2642
751	5385	2635
752	5391	2627
753	5399	2620
754	5405	2613
755	5412	2606
756	5418	2598
757	5425	2591
758	5433	2584
759	5439	2576
760	5447	2569
761	5454	2562
762	5462	2555
763	5468	2548
764	5474	2540
765	5481	2533
766	5488	2525
767	5495	2518
768	5501	2511
769	5508	2503
770	5514	2496
771	5521	2488
772	5528	2481
773	5534	2474
774	5541	2466
775	5549	2459
776	5555	2452
777	5563	2445
778	5570	2438
779	5576	2430
780	5583	2423
781	5590	2416
782	5597	2408
783	5603	2401
784	5610	2394
785	5617	2387
786	5624	2379
787	5631	2372
788	5638	2365
789	5645	2358
790	5653	2351
791	5662	2345
792	5670	2338
793	5676	2330
794	5683	2323
795	5690	2316
796	5696	2308
797	5703	2301
798	5709	2293
799	5717	2286
800	5723	2279
801	5730	2272
802	5737	2264
803	5744	2257
804	5752	2250
805	5759	2243
806	5766	2236
807	5773	2229
808	5780	2222
809	5787	2215
810	5794	2207
811	5801	2200
812	5807	2193
813	5814	2185
814	5821	2178
815	5828	2171
816	5835	2164
817	5842	2156
818	5849	2149
819	5856	2142
820	5863	2135
821	5870	2128
822	5877	2120
823	5884	2113
824	5890	2106
825	5897	2099
826	5904	2091
827	5910	2084
828	5918	2077
829	5925	2070
830	5932	2063
831	5938	2055
832	5945	2048
833	5953	2041
834	5959	2034
835	5966	2026
836	5972	2019
837	5980	2012
838	5987	2005
839	5993	1997
840	6001	1990
841	6008	1983
842	6014	1976
843	6021	1969
844	6028	1962
845	6035	1954
846	6042	1947
847	6049	1940
848	6056	1933
849	6063	1926
850	6071	1919
851	6078	1912
852	6085	1904
853	6091	1897
854	6099	1890
855	6105	1883
856	6112	1875
857	6118	1868
858	6125	1861
859	6132	1853
860	6138	1846
861	6146	1839
862	6152	1832
863	6160	1825
864	6167	1818
865	6174	1811
866	6182	1804
867	6189	1796
868	6197	1790
869	6203	1782
870	6210	1775
871	6217	1768
872	6223	1760
873	6230	1753
874	6236	1746
875	6244	1739
876	6250	1732
877	6258	1724
878	6264	1717
879	6271	1710
880	6278	1703
881	6285	1696
882	6293	1689
883	6300	1681
884	6307	1674
885	6313	1667
886	6320	1660
887	6327	1653
888	6333	1645
889	6341	1638
890	6348	1631
891	6355	1624
892	6362	1617
893	6370	1610
894	6376	1603
895	6383	1595
896	6391	1588
897	6398	1581
898	6406	1574
899	6413	1567
900	6420	1560
901	6427	1553
902	6436	1546
903	6445	1539
904	6454	1533
905	6461	1526
906	6469	1519
907	6476	1512
908	6484	1505
909	6490	1497
910	6497	1490
911	6504	1483
912	6511	1476
913	6519	1469
914	6527	1462
915	6535	1455
916	6543	1448
917	6551	1441
918	6558	1434
919	6566	1427
920	6573	1420
921	6581	1413
922	6589	1406
923	6595	1399
924	6602	1391
925	6608	1384
926	6616	1377
927	6623	1370
928	6631	1363
929	6639	1356
930	6646	1349
931	6653	1342
932	6660	1335
933	6667	1327
934	6674	1320
935	6682	1313
936	6689	1306
937	6696	1299
938	6703	1292
939	6709	1284
940	6717	1277
941	6724	1270
942	6731	1263
943	6737	1256
944	6746	1249
945	6751	1241
946	6758	1234
947	6765	1227
948	6771	1220
949	6778	1213
950	6785	1205
951	6792	1198
952	6799	1191
953	6806	1184
954	6814	1177
955	6821	1170
956	6828	1163
957	6835	1155
958	6842	1148
959	6849	1141
960	6856	1134
961	6862	1127
962	6869	1119
963	6876	1112
964	6883	1105
965	6891	1098
966	6898	1091
967	6905	1084
968	6913	1077
969	6919	1070
970	6926	1062
971	6933	1055
972	6940	1048
973	6947	1041
974	6954	1034
975	6960	1027
976	6967	1019
977	6974	1012
978	6980	1005
979	6987	998
980	6993	990
981	7000	983
982	7008	976
983	7014	969
984	7021	962
985	7028	955
986	7035	948
987	7042	940
988	7048	933
989	7056	926
990	7063	919
991	7070	912
992	7077	905
993	7084	898
994	7091	890
995	7097	883
996	7105	876
997	7111	869
998	7118	862
999	7124	854
1000	7131	847
1001	7139	840
1002	7145	833
1003	7153	826
1004	7160	819
1005	7167	812
1006	7174	805
1007	7181	797
1008	7188	790
1009	7195	783
1010	7201	776
1011	7208	769
1012	7215	762
1013	7222	755
1014	7229	747
1015	7238	740
1016	7243	733
1017	7250	726
1018	7257	719
1019	7263	712
1020	7270	704
1021	7277	697
1022	7284	690
1023	7290	683
1024	7297	676
1025	7305	669
1026	7312	662
1027	7319	655
1028	7326	647
1029	7333	640
1030	7339	633
1031	7346	626
1032	7353	619
1033	7360	612
1034	7367	605
1035	7374	597
1036	7381	590
1037	7388	583
1038	7394	576
1039	7401	569
1040	7408	562
1041	7415	555
1042	7422	547
1043	7428	540
1044	7436	533
1045	7443	526
1046	7450	519
1047	7456	512
1048	7465	505
1049	7472	498
1050	7478	490
1051	7484	483
1052	7491	476
1053	7498	469
1054	7505	462
1055	7512	455
1056	7519	448
1057	7526	441
1058	7532	433
1059	7540	426
1060	7547	419
1061	7553	412
1062	7561	405
1063	7568	398
1064	7575	391
1065	7582	384
1066	7588	376
1067	7595	369
1068	7602	362
1069	7609	355
1070	7615	348
1071	7622	341
1072	7629	334
1073	7637	327
1074	7645	320
1075	7651	312
1076	7659	305
1077	7665	298
1078	7673	291
1079	7680	284
1080	7688	277
1081	7694	270
1082	7701	263
1083	7708	256
1084	7715	248
1085	7722	241
1086	7729	234
1087	7736	227
1088	7742	220
1089	7750	213
1090	7757	206
1091	7763	199
1092	7771	191
1093	7778	184
1094	7785	177
1095	7792	170
1096	7799	163
1097	7805	156
1098	7812	149
1099	7819	142
1100	7825	135
1101	7832	127
1102	7839	120
1103	7846	113
1104	7854	106
1105	7860	99
1106	7867	92
1107	7873	85
1108	7880	78
1109	7887	71
1110	7894	63
1111	7901	56
1112	7908	49
1113	7914	42
1114	7921	35
1115	7927	28
1116	7934	21
1117	7941	14
1118	7949	7
1119	7956	0
